company_id,registration_date,location,turnover,is_fraud,seller_id_x,sent_invoices,buyer_id_x,received_invoices,seller_id_y,total_sent_amount,buyer_id_y,total_received_amount,invoice_frequency,fraud_probability,predicted_fraud
GST000000,2020-01-31,Mumbai,2238330.393479253,0,GST000000,7,GST000000,4,GST000000,1205437.7017118738,GST000000,1030301.4216816563,11,0.5015882,1
GST000001,2020-03-20,Bangalore,4527477.249789344,0,GST000001,2,GST000001,8,GST000001,1319247.1594884526,GST000001,1187220.4604056652,10,0.49973768,0
GST000002,2020-11-05,Delhi,73790519.61902837,0,GST000002,9,GST000002,5,GST000002,1667638.2269283882,GST000002,105610.70368273911,14,0.49417144,0
GST000003,2021-05-17,Delhi,6684217.673742692,0,GST000003,5,GST000003,7,GST000003,140519.27720771567,GST000003,1083088.3597851228,12,0.49796307,0
GST000004,2021-10-04,Mumbai,2566.932158455612,1,GST000004,7,GST000004,2,GST000004,3393821.1641471954,GST000004,13792.473974783023,9,0.5056879,1
GST000005,2020-02-04,Delhi,21096831.942807533,0,GST000005,12,GST000005,4,GST000005,893852.8065438807,GST000005,428772.6245735001,16,0.49939492,0
GST000006,2020-11-01,Kolkata,4328527.183268455,0,GST000006,6,GST000006,2,GST000006,127280.68271086573,GST000006,113853.33439658016,8,0.48830828,0
GST000007,2021-04-10,Kolkata,1986967.6734882533,0,GST000007,4,GST000007,2,GST000007,166709.8357454936,GST000007,106882.32283194103,6,0.5011296,1
GST000008,2022-01-09,Chennai,6084366.962545866,0,GST000008,3,GST000008,2,GST000008,1048834.6896420533,GST000008,945457.6018834225,5,0.497058,0
GST000009,2021-07-26,Mumbai,2007643.278334036,0,GST000009,5,GST000009,3,GST000009,126142.01080146502,GST000009,1377504.141248715,8,0.48251736,0
GST000010,2022-04-05,Mumbai,74856741.85399683,0,GST000010,7,GST000010,3,GST000010,1821988.216684057,GST000010,1324366.6349964286,10,0.49714836,0
GST000011,2022-03-05,Mumbai,11154625.94818079,0,GST000011,6,GST000011,5,GST000011,1856072.439898894,GST000011,166517.14770569513,11,0.491672,0
GST000012,2021-11-19,Kolkata,507220.8074363467,0,GST000012,8,GST000012,5,GST000012,590189.5188359871,GST000012,1371130.543358341,13,0.46845064,0
GST000013,2021-07-27,Chennai,12544013.901565976,0,GST000013,4,GST000013,8,GST000013,80893.78282473794,GST000013,8154557.103759975,12,0.49722353,0
GST000014,2020-03-06,Mumbai,3541802.6112194653,0,GST000014,4,GST000014,10,GST000014,139199.5335083017,GST000014,710281.7234410554,14,0.49343538,0
GST000015,2022-04-19,Delhi,716977.0127757693,0,GST000015,3,GST000015,6,GST000015,342137.0682598665,GST000015,163234.06945058337,9,0.4931056,0
GST000016,2021-06-19,Mumbai,38993104.68973325,0,GST000016,4,GST000016,4,GST000016,222108.88992832197,GST000016,301301.0493636218,8,0.49374226,0
GST000017,2020-07-02,Chennai,9743641.249264268,0,GST000017,8,GST000017,6,GST000017,580070.1587485927,GST000017,2063075.507129969,14,0.49980694,0
GST000018,2021-08-24,Chennai,232972.4439066267,0,GST000018,7,GST000018,2,GST000018,249224.63497108847,GST000018,64440.617899839504,9,0.4988434,0
GST000019,2020-01-22,Mumbai,184470834.39347097,0,GST000019,6,GST000019,5,GST000019,61248.89059519811,GST000019,159346.0652796541,11,0.49119374,0
